date,page,segment,clicks,impressions,position
2026-02-01,P01,general,4,50,13.82
2026-02-01,P01,local,1,38,13.82
2026-02-01,P02,general,3,40,10.9
2026-02-01,P02,local,0,29,10.92
2026-02-01,P03,general,1,65,14.81
2026-02-01,P03,local,1,35,14.66
2026-02-01,P04,general,0,50,18.41
2026-02-01,P04,local,1,30,18.85
2026-02-01,P05,general,9,93,5.29
2026-02-01,P05,local,4,75,5.31
2026-02-01,P06,general,0,24,13.56
2026-02-01,P06,local,0,20,13.33
2026-02-01,P07,general,4,110,9.61
2026-02-01,P07,local,3,38,10.22
2026-02-01,P08,general,6,91,4.31
2026-02-01,P08,local,6,31,4.35
2026-02-01,P09,general,1,56,10.2
2026-02-01,P09,local,2,31,9.91
2026-02-01,P10,general,0,29,14.82
2026-02-01,P10,local,0,11,14.21
2026-02-01,P11,general,1,24,12.57
2026-02-01,P11,local,2,23,11.91
2026-02-01,P12,general,0,38,5.75
2026-02-01,P12,local,1,20,6.07
2026-02-01,P13,general,2,45,5.93
2026-02-01,P13,local,3,46,5.93
2026-02-01,P14,general,0,41,18.72
2026-02-01,P14,local,0,21,19.95
2026-02-01,P15,general,1,27,18.86
2026-02-01,P15,local,0,15,18.45
2026-02-01,P16,general,1,54,14.43
2026-02-01,P16,local,0,45,14.78
2026-02-01,P17,general,1,61,9.28
2026-02-01,P17,local,0,36,9.15
2026-02-01,P18,general,1,52,16.28
2026-02-01,P18,local,2,34,16.01
2026-02-01,P19,general,8,79,5.7
2026-02-01,P19,local,2,57,5.81
2026-02-01,P20,general,3,46,7.95
2026-02-01,P20,local,1,32,7.48
2026-02-01,P21,general,3,69,10.42
2026-02-01,P21,local,0,48,10.79
2026-02-01,P22,general,0,63,17.29
2026-02-01,P22,local,1,22,16.79
2026-02-01,P23,general,6,59,8.28
2026-02-01,P23,local,1,26,9.03
2026-02-01,P24,general,0,68,14.06
2026-02-01,P24,local,0,34,14.3
2026-02-01,P25,general,0,28,16.58
2026-02-01,P25,local,1,22,16.88
2026-02-02,P01,general,1,63,13.79
2026-02-02,P01,local,0,35,14.22
2026-02-02,P02,general,0,77,11.48
2026-02-02,P02,local,2,44,11.29
2026-02-02,P03,general,1,67,15.37
2026-02-02,P03,local,1,48,15.36
2026-02-02,P04,general,0,75,15.64
2026-02-02,P04,local,0,50,15.19
2026-02-02,P05,general,9,146,5.28
2026-02-02,P05,local,6,88,5.07
