intervention_id,page,type,date,description
I01,P01,technical,2026-06-22,"Viewport, canonical, popravljene povezave, hitrejše nalaganje"
I02,P02,technical,2026-06-22,"Viewport, canonical, popravljene povezave, hitrejše nalaganje"
I03,P03,technical,2026-06-22,"Viewport, canonical, popravljene povezave, hitrejše nalaganje"
I04,P04,technical,2026-06-22,"Viewport, canonical, popravljene povezave, hitrejše nalaganje"
I05,P05,technical,2026-06-22,"Viewport, canonical, popravljene povezave, hitrejše nalaganje"
I06,P06,content,2026-06-29,"Meta opisi, unikatni naslovi, H1, strukturirani podatki"
I07,P07,content,2026-06-29,"Meta opisi, unikatni naslovi, H1, strukturirani podatki"
I08,P08,content,2026-06-29,"Meta opisi, unikatni naslovi, H1, strukturirani podatki"
I09,P09,content,2026-06-29,"Meta opisi, unikatni naslovi, H1, strukturirani podatki"
I10,P10,content,2026-06-29,"Meta opisi, unikatni naslovi, H1, strukturirani podatki"
I11,P11,local,2026-07-06,"Google Business Profile, lokalne ključne besede, LocalBusiness"
I12,P12,local,2026-07-06,"Google Business Profile, lokalne ključne besede, LocalBusiness"
I13,P13,local,2026-07-06,"Google Business Profile, lokalne ključne besede, LocalBusiness"
I14,P14,local,2026-07-06,"Google Business Profile, lokalne ključne besede, LocalBusiness"
I15,P15,local,2026-07-06,"Google Business Profile, lokalne ključne besede, LocalBusiness"
I16,P16,accessibility,2026-07-13,"Alt besedila, lang, zaporedje naslovov, oznake obrazcev"
I17,P17,accessibility,2026-07-13,"Alt besedila, lang, zaporedje naslovov, oznake obrazcev"
I18,P18,accessibility,2026-07-13,"Alt besedila, lang, zaporedje naslovov, oznake obrazcev"
I19,P19,accessibility,2026-07-13,"Alt besedila, lang, zaporedje naslovov, oznake obrazcev"
I20,P20,accessibility,2026-07-13,"Alt besedila, lang, zaporedje naslovov, oznake obrazcev"
L01,*,links,2026-07-01,Gradnja povratnih povezav s slovenskih spletišč
