page,snapshot,date,performance,accessibility,seo,lcp_ms,cls,inp_ms
P01,before,2026-06-01,59,90,85,3617,0.143,158
P01,after,2026-08-20,89,86,89,2188,0.051,221
P02,before,2026-06-01,46,85,86,3959,0.121,256
P02,after,2026-08-20,83,91,94,1925,0.033,222
P03,before,2026-06-01,60,84,87,3670,0.134,306
P03,after,2026-08-20,83,89,87,2291,0.042,290
P04,before,2026-06-01,52,91,90,4211,0.125,247
P04,after,2026-08-20,83,88,88,2350,0.076,220
P05,before,2026-06-01,52,88,91,4320,0.233,204
P05,after,2026-08-20,93,86,90,2033,0.065,343
P06,before,2026-06-01,73,87,79,2867,0.065,199
P06,after,2026-08-20,72,91,92,2582,0.053,345
P07,before,2026-06-01,64,85,71,2673,0.073,300
P07,after,2026-08-20,64,91,92,2858,0.031,166
P08,before,2026-06-01,74,91,72,2837,0.074,212
P08,after,2026-08-20,62,87,92,2426,0.077,346
P09,before,2026-06-01,65,82,76,2655,0.07,157
P09,after,2026-08-20,75,89,99,2613,0.059,295
P10,before,2026-06-01,62,84,78,2753,0.056,321
P10,after,2026-08-20,62,91,94,2595,0.044,234
P11,before,2026-06-01,67,91,91,2447,0.028,180
P11,after,2026-08-20,76,88,90,2489,0.029,216
P12,before,2026-06-01,75,82,91,2485,0.032,344
P12,after,2026-08-20,67,88,93,2591,0.047,157
P13,before,2026-06-01,62,83,86,2792,0.08,325
P13,after,2026-08-20,65,84,91,2499,0.048,265
P14,before,2026-06-01,65,83,89,2424,0.061,156
P14,after,2026-08-20,74,86,89,2857,0.051,195
P15,before,2026-06-01,73,84,93,2856,0.03,245
P15,after,2026-08-20,73,84,90,2484,0.036,249
P16,before,2026-06-01,65,65,85,2856,0.045,200
P16,after,2026-08-20,67,92,88,2772,0.049,184
P17,before,2026-06-01,74,62,86,2504,0.053,301
P17,after,2026-08-20,63,96,88,2585,0.05,184
P18,before,2026-06-01,72,63,88,2727,0.029,289
P18,after,2026-08-20,77,95,94,2901,0.04,344
P19,before,2026-06-01,66,69,89,2505,0.034,343
P19,after,2026-08-20,63,97,86,2736,0.06,205
P20,before,2026-06-01,64,70,88,2665,0.06,235
P20,after,2026-08-20,68,96,94,2814,0.039,164
P21,before,2026-06-01,75,87,93,2940,0.026,289
P21,after,2026-08-20,74,83,86,2540,0.05,311
P22,before,2026-06-01,75,84,86,2618,0.031,311
P22,after,2026-08-20,62,86,85,2693,0.052,348
P23,before,2026-06-01,63,91,91,2475,0.074,153
P23,after,2026-08-20,62,82,94,2519,0.044,190
P24,before,2026-06-01,73,86,85,2937,0.042,286
P24,after,2026-08-20,71,88,89,2845,0.071,273
P25,before,2026-06-01,65,83,89,2638,0.072,187
P25,after,2026-08-20,73,91,85,2715,0.045,154
