page,url,design_group
P01,https://primer-finance.test/storitve/1/,technical
P02,https://primer-finance.test/storitve/2/,technical
P03,https://primer-finance.test/storitve/3/,technical
P04,https://primer-finance.test/storitve/4/,technical
P05,https://primer-finance.test/storitve/5/,technical
P06,https://primer-finance.test/nasveti/1/,content
P07,https://primer-finance.test/nasveti/2/,content
P08,https://primer-finance.test/nasveti/3/,content
P09,https://primer-finance.test/nasveti/4/,content
P10,https://primer-finance.test/nasveti/5/,content
P11,https://primer-finance.test/poslovalnice/1/,local
P12,https://primer-finance.test/poslovalnice/2/,local
P13,https://primer-finance.test/poslovalnice/3/,local
P14,https://primer-finance.test/poslovalnice/4/,local
P15,https://primer-finance.test/poslovalnice/5/,local
P16,https://primer-finance.test/obrazci/1/,accessibility
P17,https://primer-finance.test/obrazci/2/,accessibility
P18,https://primer-finance.test/obrazci/3/,accessibility
P19,https://primer-finance.test/obrazci/4/,accessibility
P20,https://primer-finance.test/obrazci/5/,accessibility
P21,https://primer-finance.test/o-nas/1/,control
P22,https://primer-finance.test/o-nas/2/,control
P23,https://primer-finance.test/o-nas/3/,control
P24,https://primer-finance.test/o-nas/4/,control
P25,https://primer-finance.test/o-nas/5/,control
